,ene_y1,ene_y3
713,23488.992252757973,21982.226465503787
714,22413.627499366314,22857.490477339183
715,25334.35795427723,21707.885867540223
716,25721.66744193733,19428.859121470345
717,23243.077793402183,23638.56963743165
718,22209.669871273323,22411.22419624211
719,23672.4617779954,24700.451861500365
720,23182.72129220061,22611.792294815365
721,23404.362721896967,21206.922809557615
722,23413.833152798517,22754.0255806414
723,23781.477943103797,20647.07271566638
724,22869.968508298873,22543.72103793872
725,23358.62471320683,23656.158641499587
726,21489.979971800094,19308.405283499604
727,23062.041253045114,21394.108829648205
728,22500.986218162932,21048.141519749926
729,23057.59371690256,22756.921099351384
730,21707.91818571515,21108.512434826738
731,23356.585015792018,21597.506378347633
732,23761.63271020269,22142.540081998686
733,23354.7258936113,19723.755958914757
734,22019.39166674114,23888.398794948615
735,23907.926852400997,20095.695787105808
736,23946.06437308559,22491.05512102739
737,22800.33176433239,22319.650208270228
738,23810.34248234853,25411.893577218503
739,24574.420527798145,22129.85051750728
740,24654.49155191014,23395.877597295188
741,25135.21966182041,23737.65372583913
742,22349.228067284326,22433.362677073914
743,25517.00369555948,22842.310856106604
744,23451.79622560584,21362.371361574522
745,22639.673999720126,22490.544837254358
746,23909.432593399568,23526.937849096656
747,25245.807961895018,23356.417949200564
748,23041.65504403314,22740.452357701626
749,20355.625771454783,21793.95784968334
750,23793.712042197043,23580.50198819515
751,23203.50661943638,23452.6053607015
752,24749.656065495252,24018.213916997647
753,23117.62343530022,24377.755028896772
754,24718.383056188184,22895.95393574975
755,23892.347824397337,23797.630765500955
756,24015.495821503406,22814.953670528106
757,22712.649227205784,20987.189151218892
758,23400.889455288645,23863.968464997106
759,24735.539825899978,21109.188375699232
760,23075.229506901855,22954.28236446539
761,23130.40519230171,23362.387766118893
762,20575.31285880624,20842.114581441198
763,23571.5320736,22914.573320523014
764,23294.381113601,22440.735261930215
765,23503.408188498113,22606.208657435724
766,24730.46406119782,22566.244647702373
767,23494.863373599248,23520.609108208162
768,24772.45314590254,20770.670701333624
769,23952.507102201584,23150.72248032252
770,23836.63936219967,22457.117246126014
771,24288.945637214983,23243.21859545128
772,21860.117380334796,22058.20061333636
773,25558.585942000293,21840.80812216654
